id	node1	label	node2	node2;coor	node2;label
	cluster_0_0_2_2_14_8_1227	member	QNIHPER7938743	@29.64833/-82.34944	'University of Florida'@en
	cluster_0_0_2_2_14_112_322	member	QNIHPER3095885	@41.311111111111/-72.926666666667	'Yale University'@en
	cluster_0_0_3_6_7_2_843	member	QNIHPER3102492	@38.648/-90.305	'Washington University in St. Louis'@en
	cluster_0_0_3_6_7_2_2378	member	QNIHPER7040496	@36.148649/-86.804972	'Vanderbilt University'@en
	cluster_0_0_3_6_11_61_1515	member	QNIHPER9632632	@42.34/-71.08833333333334	'Northeastern University'@en
	cluster_0_0_3_6_21_33_859	member	QNIHPER9809763	@40.7641/-73.9568	'Memorial Sloan Kettering Cancer Center'@en
	cluster_0_0_2_2_14_112_374	member	QNIHPER3132670	@37.4282293/-122.1688576	'Stanford University'@en
	cluster_0_0_2_3_24_142_1879	member	QNIHPER8660236	@37.546615/-77.453255	'Virginia Commonwealth University'@en
	cluster_0_0_2_2_9_125_1126	member	QNIHPER3144985	@38.900833333333/-77.050833333333	'George Washington University'@en
	cluster_0_0_2_2_9_125_1126	member	QNIHPER7165891	@43.128333/-77.628333	'University of Rochester'@en
	cluster_0_0_2_3_23_51_640	member	QNIHPER9075797	@42.374443888889/-71.116943888889	'Harvard University'@en
	cluster_0_0_2_2_14_8_259	member	QNIHPER8449262	@40.807556/-73.964083	'Columbia University Medical Center'@en
	cluster_0_0_2_2_14_11_2117	member	QNIHPER3302190	@36.148649/-86.804972	'Vanderbilt University'@en
	cluster_0_0_2_2_14_11_2117	member	QNIHPER9033319	@39.545833333333/-119.81666666667	'University of Nevada, Reno'@en
	cluster_0_0_2_2_14_11_2117	member	QNIHPER6060960	@39.32888888888889/-76.62055555555555	'Johns Hopkins University'@en
	cluster_0_0_2_2_14_11_2117	member	QNIHPER7132119	@39.32888888888889/-76.62055555555555	'Johns Hopkins University'@en
	cluster_0_0_2_2_14_112_322	member	QNIHPER6061879	@39.679111111111/-75.752166666667	'University of Delaware'@en
	cluster_0_0_2_2_14_112_322	member	QNIHPER7919734	@39.679111111111/-75.752166666667	'University of Delaware'@en
	cluster_0_0_2_3_24_142_280	member	QNIHPER6062954	@41.7308/-72.7903	'University of Connecticut School of Medicine'@en
	cluster_0_0_2_2_14_11_2117	member	QNIHPER6063112	@41.871889/-87.64925	'University of Illinois at Chicago'@en
	cluster_0_0_2_2_14_11_2117	member	QNIHPER7697293	@40.7392/-74.1901	'New Jersey Medical School'@en
	cluster_0_0_2_2_14_11_2117	member	QNIHPER6078914	@40.7421/-73.9744	'New York University School of Medicine'@en
	cluster_0_0_2_2_14_11_2117	member	QNIHPER8182241	@40.7421/-73.9744	'New York University School of Medicine'@en
	cluster_0_0_3_5_28_70_1259	member	QNIHPER6083945	@41.789722222222/-87.599722222222	'University of Chicago'@en
	cluster_0_0_3_5_28_70_916	member	QNIHPER8597383	@36.001111111111/-78.938888888889	'Duke University'@en
	cluster_0_0_3_6_11_35_364	member	QNIHPER8759196	@49.263688/-123.122478	'Vancouver Coastal Health Research Institute'@en
	cluster_0_0_3_5_30_82_1373	member	QNIHPER6090432	@40.7645/-73.9541	'Weill Cornell Medicine'@en
	cluster_0_0_3_5_30_82_1373	member	QNIHPER9221095	@42.276944444444/-83.738055555556	'University of Michigan'@en
	cluster_0_0_3_5_30_15_1394	member	QNIHPER6094233	@41.662439/-91.548881	'University of Iowa Health Care'@en
